"Office","State","District","City","Party","Spent","Received","Debt","Contribution","Win"
"H","CA",26,"SIMI VALLEY","REP",412730.97,279776.42,151369.31,151701,"No"
"H","NC",13,"JAMESTOWN","DEM",79231,62060.64,28503.59,58631,"No"
"H","NY",24,"SYRACUSE","DEM",1323419.88,1289995.28,14116.27,1310635.27,"No"
"H","IN",5,"INDIANAPOLIS","DEM",145769.19,74423.91,656.04,145409.72,"No"
"H","NY",21,"PERU","DEM",1165283.09,1103702.01,32500,1164225.26,"No"
"H","NC",1,"STANTONSBURG","REP",20648,19656.14,10000,10648,"No"
"H","WA",4,"ELTOPIA","REP",62282.49,45212.77,330,61946.99,"No"
"H","CA",8,"TWENTYNINE PALMS","DEM",35743.12,31604.31,30102.04,5641.08,"No"
"H","MI",7,"SALINE","DEM",2207699.84,1871104.44,55000,2146750.84,"No"
"H","CA",34,"LONG BEACH","DEM",20,1.8,1740,20,"No"
"H","CA",10,"TURLOCK","DEM",1294801.13,1110976.11,3500,1272675.21,"No"
"S","AR",0,"LITTLE ROCK","DEM",1864550,1814570,320000,1643207,"No"
"H","NV",2,"RENO","DEM",185752.51,160439.37,3497.77,182254.74,"No"
"S","WI",0,"MIDDLETON","DEM",21677292,18788281,21691,21250095,"No"
"H","FL",27,"MIAMI","DEM",785700.72,760371.83,650000,134796.39,"No"
"H","OH",4,"OBERLIN","DEM",76886.92,53224.36,2669.65,76823.87,"No"
"H","AZ",9,"CHANDLER","REP",254468.63,249176.45,224470.91,13441.21,"No"
"H","KS",4,"WICHITA","DEM",250618,251127.68,2500,247763,"No"
"H","CA",52,"SAN DIEGO","REP",1312272.53,1204296.1,151196.58,1201776.14,"No"
"S","CO",0,"COLORADO SPRINGS","REP",3627948,2547292,76503,3554383,"No"
"H","NC",4,"CARY","REP",115969.32,78678.44,11740,104229.32,"No"
"S","KY",0,"LEXINGTON","DEM",5420051,4668876,1318618,3407408,"No"
"H","MN",1,"BLUE EARTH","REP",323484.73,296362.09,20000,314542.01,"No"
"H","PA",9,"BEDFORD","REP",289031.14,227486.58,375000,89031.14,"No"
"H","MA",9,"CHATHAM","NNE",61138,27781.05,40000,21138,"No"
"H","CA",32,"LONG BEACH","DEM",187642.23,140539.02,59000,107564.23,"No"
"H","VA",8,"ARLINGTON","REP",68578.24,61715.2,3500,65078.24,"No"
"H","CA",51,"SAN DIEGO","REP",72728.12,52121.77,2966.44,69761.68,"No"
"H","MD",6,"POTOMAC","REP",1022517.27,947989.36,350000,571689.32,"No"
"H","ME",1,"BRUNSWICK","REP",94935.4,57916.73,3375,90644.4,"No"
"H","LA",2,"BATON ROUGE","DEM",22250,180.11,500,21750,"No"
"H","IL",6,"LAKE ZURICH","DEM",95060.85,44967.24,5000,90060.85,"No"
"H","WV",2,"CHARLESTON","DEM",444303.87,373768.48,265750,173875.62,"No"
"H","SC",7,"HARTSVILLE","DEM",70641.13,62990.27,36631.58,29559.55,"No"
"H","ND",0,"FORT YATES","DEM",165177.73,121254.95,32664.96,165177.73,"No"
"H","NJ",7,"UNION","DEM",140076.81,63716.72,195.87,139891.81,"No"
"H","MI",1,"KALKASKA","DEM",1853123.92,1795109.68,16590.53,1848782.81,"No"
"H","CA",7,"ANTELOPE","REP",1182932.79,1094606.82,68514.72,1171362.46,"No"
"H","FL",23,"WESTON","REP",123388.49,115366.99,89862.53,116492.56,"No"
"H","KY",6,"LEXINGTON","DEM",418412.41,359304.48,24830.94,418412.41,"No"
"H","TN",6,"COTTONTOWN","DEM",4744.01,3736.61,12944.35,4744.01,"No"
"H","IL",11,"AURORA","REP",727411.76,585612.04,215250,511497.25,"No"
"S","FL",0,"MIAMI","OTH",214071,171969,140000,73821,"No"
"H","IL",5,"CHICAGO","REP",27522.89,21746.79,202933.38,16464.99,"No"
"H","MI",11,"ROCHESTER HILLS","DEM",1122266.28,913230.36,7e+05,372266.28,"No"
"H","FL",15,"LUTZ","DEM",39477.88,34590.75,14060.65,25417.23,"No"
"H","KS",1,"CLYDE","IND",129058.38,91018.47,31163.51,98671,"No"
"H","OH",9,"LAKEWOOD","REP",27859.39,25123.84,4200,22659.39,"No"
"H","IL",9,"WILMETTE","REP",176547.6,134765.71,2750,176522.6,"No"
"H","WV",3,"PRINCETON","LIB",63603.69,62950.85,32010,31593.69,"No"
"H","NH",2,"NASHUA","REP",80672.61,59039.75,6000,69672.61,"No"
"S","NY",0,"NEW YORK","REP",631614,477955,312746,601270,"No"
"H","FL",10,"SORRENTO","REP",34436.86,34193.52,9261.97,25120.33,"No"
"H","CA",50,"ESCONDIDO","DEM",18625.94,15377.57,4109.15,18625.94,"No"
"H","WV",1,"GRAFTON","DEM",21193.84,27875.67,150,21193.84,"No"
"H","KS",1,"GREAT BEND","REP",1543101.34,1456886.51,216000,1179085.85,"Yes"
"H","PA",11,"HAZLETON","DEM",419868.43,122113.77,390418.43,29450,"No"
"H","TX",17,"WACO","DEM",38402.86,41586.67,4000,37402.86,"No"
"H","OK",5,"OKLAHOMA CITY","DEM",62528.49,55522.55,2500,62528.49,"No"
"H","PA",12,"NATRONA HEIGHTS","DEM",223648.1,178662.69,58500,223438.5,"No"
"H","FL",6,"DE LEON SPRINGS","DEM",36020,32862.51,6500,7545,"No"
"H","FL",22,"POMPANO BEACH","REP",24505.13,22299.18,645.04,21637.19,"No"
"S","PA",0,"WAYNE","DEM",14130447,12860645,83377,13142372,"No"
"H","TX",1,"TYLER","DEM",13358.34,12542.46,3200,13358.34,"No"
"H","TX",1,"TYLER","DEM",13358.34,12542.46,3200,13358.34,"No"
"H","NC",2,"RALEIGH","DEM",73876.42,69770.54,17594,54542.42,"No"
"H","NC",10,"TRYON","DEM",380754.77,269962.53,122500,253848.92,"No"
"S","AK",0,"FAIRBANKS","LIB",272790,97132,7213,272668,"No"
"H","MN",8,"BRAINERD","REP",3286485.13,3193463.85,1800000,1263458.94,"No"
"H","NC",8,"CARRBORO","DEM",349178.3,289114.95,500,348468.81,"No"
"H","TX",33,"FORT WORTH","REP",27345.04,24753.62,19906.24,7438.8,"No"
"H","WA",3,"VANCOUVER","DEM",103336.96,79676.01,3240,103336.96,"No"
"H","CA",1,"CHICO","REP",183682,181181.67,55000,124678,"No"
"H","CA",39,"BREA","DEM",58430.92,53055.25,7500,55930.92,"No"
"H","TX",35,"SAN MARCOS","REP",111849.51,103901.62,134211.61,110586.83,"No"
"S","FL",0,"PALM CITY","IND",17717,17710,14041,3116,"No"
"H","CT",2,"MADISON","REP",44187.58,43382.89,6362.16,42851.54,"No"
"H","NH",1,"BEDFORD","IND",1596008.51,1581596.12,823450,258093.42,"No"
"H","CA",27,"ARCADIA","REP",187671,159491.81,20000,167398,"No"
"H","PA",6,"MALVERN","DEM",394415.06,284418.17,122385.99,358415.06,"No"
"H","NJ",1,"HADDONFIELD","REP",188987.85,153508.47,33744.03,171661.93,"No"
"H","NV",1,"LAS VEGAS","REP",30569.87,28469.79,23184.18,7385.69,"No"
"H","IA",2,"CORALVILLE","REP",207030.17,124281.87,105000,102030.17,"No"
"H","NJ",4,"SPRING LAKE HEIGHTS","DEM",251233.65,192101.68,9329.49,241504.16,"No"
"H","IN",7,"INDIANAPOLIS","REP",4760,5072,4422,4760,"No"
"H","MD",3,"ANNAPOLIS","REP",490301.08,345536.84,1e+05,379961.6,"No"
"H","CO",5,"COLORADO SPRINGS","DEM",13775.33,8644.71,1338.87,12015.79,"No"
"H","FL",10,"ORLANDO","DEM",2129549.42,2038100.36,1e+05,192518.09,"No"
"H","AL",6,"VESTAVIA","DEM",53795.26,67813.04,40987.44,7645,"No"
"H","FL",14,"TAMPA","REP",32852.49,31488.01,40772.85,12010,"No"
"H","LA",3,"NEW IBERIA","DEM",14726.11,8395.85,18932.6,10626.11,"No"
"H","CA",1,"RED BLUFF","DEM",110725.99,108449.84,38494.32,73075.68,"No"
"H","CA",23,"QUARTZ HILL","DEM",36139.01,33012.31,372.76,30771.51,"No"
"H","OR",4,"CAVE JUNCTION","REP",56791.04,45133.71,47316.21,53791.04,"No"
"H","NM",3,"TAOS","REP",94663.73,88419.53,30661.85,61663.73,"No"
"H","MA",4,"DIGHTON","REP",13777.87,12204.58,12164.4,1613.47,"No"
"H","NY",10,"NEW YORK","REP",70061.52,47125.9,33010.89,37050.63,"No"
"S","NC",0,"RALEIGH","DEM",10901549,9334221,31192,10590681,"No"
"H","MN",4,"ROSEVILLE","REP",53743.64,48059.31,22794.1,24451,"No"
"H","CA",48,"NEWPORT BEACH","DEM",100085.08,65305.91,3894.47,100085.08,"No"
"H","FL",16,"SANRASOTA","DEM",69424.65,39902.34,77261.89,43424.65,"No"
"H","FL",5,"FLEMING ISLAND","REP",54631.56,49614.16,1163.81,54265.76,"No"
"H","TN",3,"CHATTANOOGA","DEM",95167.43,61232.69,10000,85167.43,"No"
"H","CA",41,"RIVERSIDE","REP",214494,208968.37,191967.84,90994,"No"
"H","CA",42,"SUN CITY","DEM",137042.45,101640.33,24265.13,116211.19,"No"
"H","MI",8,"CLARKSTON","DEM",576612.3,509816.28,8500,568112.3,"No"
"H","KS",3,"MISSION","DEM",458305.77,406309.72,50000,408305.77,"No"
"H","MA",1,"SHELBURNE FALLS","LIB",17850,16641.88,5000,12270,"No"
"H","TN",5,"BRENTWOOD","REP",57720.63,42118.54,5064.63,52656,"No"
"H","NJ",6,"ATLANTIC HIGHLANDS","REP",67284.4,60870.07,2415.4,67284.4,"No"
"H","NM",2,"LAS CRUCES","DEM",333924.89,276323.49,113000,177924.89,"No"
"H","NY",14,"YONILEM","REP",139424.1,83369.66,128500,10400,"No"
"S","NY",0,"YONKERS","REP",139424.1,83369.66,128500,10400,"No"
"S","FL",0,"DELAND","LIB",24292,19956,5388,19730,"No"
"H","CA",36,"TEMECULA","REP",341524.44,283798.77,4542.11,341524.44,"No"
"H","TX",32,"DALLAS","GRE",2728.57,2148.36,30,2728.57,"No"
"S","ID",0,"BOISE","DEM",728390,464457,297915,431278,"No"
"H","WA",1,"GRANITE FALLS","REP",21807.18,17819.61,131,21287.18,"No"
"H","CA",16,"BURREL","REP",489133.08,474344.71,32635.71,485811.5,"No"
"H","FL",12,"CLEARWATER","DEM",46318,38512,40000,6318,"No"
"H","WI",2,"MADISON","REP",40294.99,40621.72,9960,26294.99,"No"
"H","TX",25,"AUSTIN","DEM",60885.67,32770.95,2232.46,59879.64,"No"
"H","UT",3,"SALT LAKE CITY","DEM",48792.7,47255.1,9800,38992.7,"No"
"H","MO",5,"LEES SUMMIT","REP",99020.53,79631.21,500,98320,"No"
"H","FL",25,"PEMBROKE PINES","DEM",36445.21,31521.87,16745,23200.21,"No"
"S","WA",0,"AUBURN","REP",426766,412360,850,425716,"No"
"H","CA",45,"IRVINE","DEM",37693.36,88330.04,1e+05,12693.36,"No"
"H","CA",53,"LA JOLLA","REP",118686.07,117025.19,39855,106186.07,"No"
